timestamp,message,customDimensions,severityLevel,operation_Id,operation_ParentId,cloud_RoleName
2025-03-01T10:00:00.000Z,마몽드 플래시토닝 데이지 리퀴드 마스크는 어떤 피부 타입에 좋아?,"{""custom_type"": ""USER_QUERY"", ""dd.trace_id"": ""1001000000000001"", ""session_id"": ""sess-001""}",1,1001000000000001,,sk-chat-app
2025-03-01T10:00:00.000Z,productAgent.search_products,"{""custom_type"": ""AGENT_NAME"", ""dd.trace_id"": ""1001000000000001"", ""session_id"": ""sess-001""}",1,1001000000000001,,sk-chat-app
2025-03-01T10:00:00.000Z,"마몽드 플래시토닝 데이지 리퀴드 마스크: 10% PHA 함유, 중성~복합성 피부, 가격 30,000원","{""custom_type"": ""AGENT_OUTPUT_RAW"", ""dd.trace_id"": ""1001000000000001"", ""session_id"": ""sess-001""}",1,1001000000000001,,sk-chat-app
2025-03-01T10:00:00.000Z,"마몽드 플래시토닝 데이지 리퀴드 마스크는 중성~복합성 피부 타입에 적합합니다. 10% PHA 성분이 모공을 정돈하고 피부결을 개선하는 데 효과적입니다. 가격은 30,000원이며 리뷰 평점은 4.8/5.0입니다.","{""custom_type"": ""FINAL_ANSWER_RAW"", ""dd.trace_id"": ""1001000000000001"", ""session_id"": ""sess-001""}",1,1001000000000001,,sk-chat-app
2025-03-01T10:00:00.000Z,마몽드 플래시토닝 마스크 성분이 궁금해요,"{""custom_type"": ""USER_QUERY"", ""dd.trace_id"": ""1001000000000002"", ""session_id"": ""sess-002""}",1,1001000000000002,,sk-chat-app
2025-03-01T10:00:00.000Z,productAgent.search_products,"{""custom_type"": ""AGENT_NAME"", ""dd.trace_id"": ""1001000000000002"", ""session_id"": ""sess-002""}",1,1001000000000002,,sk-chat-app
2025-03-01T10:00:00.000Z,"주요 성분: 데이지꽃 추출물, PHA(폴리하이드록시산) 10%, 나이아신아마이드, 알로에베라","{""custom_type"": ""AGENT_OUTPUT_RAW"", ""dd.trace_id"": ""1001000000000002"", ""session_id"": ""sess-002""}",1,1001000000000002,,sk-chat-app
2025-03-01T10:00:00.000Z,"마몽드 플래시토닝 데이지 리퀴드 마스크의 주요 성분은 데이지꽃 추출물, PHA 10%, 나이아신아마이드, 알로에베라입니다. PHA는 AHA보다 분자가 커서 자극이 적고 각질 제거와 모공 정돈에 효과적입니다.","{""custom_type"": ""FINAL_ANSWER_RAW"", ""dd.trace_id"": ""1001000000000002"", ""session_id"": ""sess-002""}",1,1001000000000002,,sk-chat-app
2025-03-01T10:00:00.000Z,마몽드 마스크 사용방법 알려줘,"{""custom_type"": ""USER_QUERY"", ""dd.trace_id"": ""1001000000000003"", ""session_id"": ""sess-003""}",1,1001000000000003,,sk-chat-app
2025-03-01T10:00:00.000Z,productAgent.search_products,"{""custom_type"": ""AGENT_NAME"", ""dd.trace_id"": ""1001000000000003"", ""session_id"": ""sess-003""}",1,1001000000000003,,sk-chat-app
2025-03-01T10:00:00.000Z,"사용방법: 세안 후 화장솜에 적당량 덜어 얼굴에 도포, 15-20분 후 세안 또는 워시오프","{""custom_type"": ""AGENT_OUTPUT_RAW"", ""dd.trace_id"": ""1001000000000003"", ""session_id"": ""sess-003""}",1,1001000000000003,,sk-chat-app
2025-03-01T10:00:00.000Z,마몽드 플래시토닝 데이지 리퀴드 마스크 사용방법: 세안 후 화장솜에 적당량 덜어 얼굴에 도포한 후 15-20분 후 미온수로 깨끗이 세안합니다. 주 2-3회 사용을 권장합니다.,"{""custom_type"": ""FINAL_ANSWER_RAW"", ""dd.trace_id"": ""1001000000000003"", ""session_id"": ""sess-003""}",1,1001000000000003,,sk-chat-app
2025-03-01T10:00:00.000Z,플래시토닝 마스크 가격이 얼마야?,"{""custom_type"": ""USER_QUERY"", ""dd.trace_id"": ""1001000000000004"", ""session_id"": ""sess-004""}",1,1001000000000004,,sk-chat-app
2025-03-01T10:00:00.000Z,productAgent.search_products,"{""custom_type"": ""AGENT_NAME"", ""dd.trace_id"": ""1001000000000004"", ""session_id"": ""sess-004""}",1,1001000000000004,,sk-chat-app
2025-03-01T10:00:00.000Z,"가격: 30,000원 (100ml), 쿠팡/올리브영/아모레몰 구매 가능","{""custom_type"": ""AGENT_OUTPUT_RAW"", ""dd.trace_id"": ""1001000000000004"", ""session_id"": ""sess-004""}",1,1001000000000004,,sk-chat-app
2025-03-01T10:00:00.000Z,"마몽드 플래시토닝 데이지 리퀴드 마스크의 가격은 30,000원(100ml)입니다. 아모레몰, 올리브영, 쿠팡 등에서 구매하실 수 있습니다.","{""custom_type"": ""FINAL_ANSWER_RAW"", ""dd.trace_id"": ""1001000000000004"", ""session_id"": ""sess-004""}",1,1001000000000004,,sk-chat-app
2025-03-01T10:00:00.000Z,마몽드 플래시토닝 마스크 리뷰 어때요?,"{""custom_type"": ""USER_QUERY"", ""dd.trace_id"": ""1001000000000005"", ""session_id"": ""sess-005""}",1,1001000000000005,,sk-chat-app
2025-03-01T10:00:00.000Z,productAgent.search_products,"{""custom_type"": ""AGENT_NAME"", ""dd.trace_id"": ""1001000000000005"", ""session_id"": ""sess-005""}",1,1001000000000005,,sk-chat-app
2025-03-01T10:00:00.000Z,"리뷰: 4.8/5.0 (411건), 주요 호평: 모공 개선, 피부결 정돈, 순한 자극","{""custom_type"": ""AGENT_OUTPUT_RAW"", ""dd.trace_id"": ""1001000000000005"", ""session_id"": ""sess-005""}",1,1001000000000005,,sk-chat-app
